contrast,estimate_ms,t_value,df,p_raw,ci_low,ci_high,p_holm
low: consistent - inconsistent,32.541666666666664,4.191977785222388,11,0.0015058131793037834,15.45576376172501,49.62756957160832,0.0015058131793037834
high: consistent - inconsistent,47.48333333333334,9.192997122207617,11,1.7023858976078266e-06,36.11488508636444,58.851781580302244,3.404771795215653e-06
