term,estimate,std_error,z_value,p_value,ci_low,ci_high
"Intercept (low, inconsistent)",33.474999999999966,5.6546394545783,5.919917665642998,3.221028308999526e-09,22.392110323467286,44.557889676532646
arrow_load[T.high],1.5416666666666827,7.268738954265061,0.212095478509664,0.8320325470912271,-12.704799896716173,15.788133230049537
flanker_consistency[T.consistent],32.541666666666664,7.268738954265061,4.476934289622861,7.572254335635007e-06,18.29520010328381,46.78813323004952
arrow_load[T.high]:flanker_consistency[T.consistent],14.941666666666665,10.279549210471277,1.4535332591672712,0.14607575223071445,-5.205879563164187,35.089212896497514
random_intercept_variance,66.6919724237813,,,,,
residual_variance,1585.0369795575098,,,,,
