arrow_load,flanker_consistency,mean_congruency_effect_ms,sd_congruency_effect_ms,n,se_congruency_effect_ms
high,consistent,82.5,19.596335464478138,12,5.656974777773332
high,inconsistent,35.016666666666666,9.755169569686286,12,2.816074888524412
low,consistent,66.01666666666667,26.545803754448592,12,7.663113471742937
low,inconsistent,33.475,11.16195852804597,12,3.22217988042539
