effect,F_value,df_num,df_den,p_value,partial_eta_sq
arrow_load,4.800786998984978,1.0,11.0,0.050873160783529596,0.30383214451871127
flanker_consistency,67.55910636009935,1.0,11.0,5.045677629950118e-06,0.859978040615964
arrow_load:flanker_consistency,2.8227687325823663,1.0,11.0,0.12107980469783788,0.20421152861573033
