participant_id,replicate_id,arrow_load,flanker_consistency,rt_congruent_ms,rt_incongruent_ms,congruency_effect_ms,error_count
7,3,low,consistent,581,550.0,-31.0,
7,3,low,inconsistent,481,514.6,33.6,1.0
7,3,high,consistent,450,535.8,85.8,6.0
7,3,high,inconsistent,411,456.5,45.5,1.0
7,4,low,consistent,511,590.0,79.0,5.0
7,4,low,inconsistent,463,485.2,22.2,1.0
7,4,high,consistent,486,497.7,11.7,4.0
7,4,high,inconsistent,418,451.6,33.6,2.0
7,5,low,consistent,535,590.0,55.0,2.0
7,5,low,inconsistent,524,538.5,14.5,6.0
7,5,high,consistent,477,521.2,44.2,3.0
7,5,high,inconsistent,435,462.9,27.9,2.0
8,1,low,consistent,426,543.0,117.0,2.0
8,1,low,inconsistent,432,502.7,70.7,1.0
8,1,high,consistent,469,497.6,28.6,2.0
8,1,high,inconsistent,447,457.5,10.5,3.0
8,2,low,consistent,449,584.0,135.0,6.0
8,2,low,inconsistent,549,520.2,-28.8,2.0
8,2,high,consistent,439,602.8,163.8,2.0
8,2,high,inconsistent,451,477.6,26.6,0.0
8,3,low,consistent,562,590.0,28.0,2.0
8,3,low,inconsistent,474,498.6,24.6,1.0
8,3,high,consistent,467,552.8,85.8,2.0
8,3,high,inconsistent,474,507.6,33.6,2.0
8,4,low,consistent,473,584.0,111.0,2.0
8,4,low,inconsistent,472,500.8,28.8,2.0
8,4,high,consistent,443,584.7,141.7,1.0
8,4,high,inconsistent,431,486.9,55.9,1.0
8,5,low,consistent,467,539.0,72.0,4.0
8,5,low,inconsistent,439,509.7,70.7,2.0
8,5,high,consistent,502,595.6,93.6,0.0
8,5,high,inconsistent,452,472.9,20.9,1.0
9,1,low,consistent,445,563.0,118.0,1.0
9,1,low,inconsistent,435,491.4,56.4,1.0
9,1,high,consistent,436,462.0,26.0,1.0
9,1,high,inconsistent,382,399.0,17.0,0.0
9,2,low,consistent,377,432.0,55.0,2.0
9,2,low,inconsistent,374,405.2,31.2,1.0
9,2,high,consistent,382,486.0,104.0,1.0
9,2,high,inconsistent,460,465.4,5.4,1.0
9,3,low,consistent,379,420.0,41.0,0.0
9,3,low,inconsistent,414,432.6,18.6,0.0
9,3,high,consistent,458,473.6,15.6,1.0
9,3,high,inconsistent,481,494.4,13.4,1.0
9,4,low,consistent,387,378.0,-9.0,0.0
9,4,low,inconsistent,355,400.0,45.0,1.0
9,4,high,consistent,468,477.1,9.1,1.0
9,4,high,inconsistent,496,544.2,48.2,1.0
9,5,low,consistent,379,449.0,70.0,1.0
9,5,low,inconsistent,421,470.3,49.3,0.0
9,5,high,consistent,411,548.8,137.8,0.0
9,5,high,inconsistent,420,498.5,78.5,1.0
10,1,low,consistent,433,474.0,41.0,0.0
10,1,low,inconsistent,446,451.4,5.4,0.0
10,1,high,consistent,387,511.8,124.8,0.0
